name,category,glass_type,instructions
'57 Chevy with a White License Plate,Cocktail,Highball glass,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir
1-900-FUK-MEUP,Shot,Old-fashioned glass,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.
110 in the shade,Beer,Beer Glass,Drop shooter in glass. Fill with beer
151 Florida Bushwacker,Milk / Float / Shake,Beer mug,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.
155 Belmont,Cocktail,White wine glass,Blend with ice. Serve in a wine glass. Garnish with carrot.
24k nightmare,Shot,Shot glass,"Add over ice,shake and pour."
252,Shot,Shot glass,"Add both ingredients to shot glass, shoot, and get drunk quick"
3 Wise Men,Shot,Collins glass,put them them in a glass... and slam it to tha head.
3-Mile Long Island Iced Tea,Ordinary Drink,Collins Glass,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.
410 Gone,Ordinary Drink,Collins Glass,"Pour 2oz Vodka into a low ball glass, top up with Coke."
50/50,Ordinary Drink,Collins Glass,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.
501 Blue,Ordinary Drink,Collins Glass,Mix equal amounts into a glass with ice.
69 Special,Ordinary Drink,Collins Glass,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up."
747,Shot,Shot glass,"pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!"
9 1/2 Weeks,Cocktail,Cocktail glass,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.
A Day at the Beach,Ordinary Drink,Highball glass,"Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry."
A Furlong Too Late,Ordinary Drink,Highball glass,Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.
